MES,WIKIDATA_MES,COD_DISTRITO,DISTRITO,DISTRITO_WIKIDATA,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
January,https://www.wikidata.org/wiki/Q108,1,Centro,https://www.wikidata.org/wiki/Q1763376,46.05,Mueble,2.62,Envase,8.26,Papel_y_Carton,890,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,23.92,Mueble,240,Envase,4.28,Papel_y_Carton,451.8,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,16.26,Mueble,420,Envase,3.4,Papel_y_Carton,405,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,23.76,Mueble,0,Envase,0,Papel_y_Carton,350.1,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,3,Retiro,https://www.wikidata.org/wiki/Q2002296,6.62,Mueble,0,Envase,0,Papel_y_Carton,300.5,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,1.1,Mueble,0,Envase,0,Papel_y_Carton,379.6,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,81.01,Mueble,0,Envase,0,Papel_y_Carton,310.2,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,8,FUENCARRAL,,23.269,Mueble,0,Envase,0,Papel_y_Carton,431.8,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,4.94,Mueble,0,Envase,0,Papel_y_Carton,266.44,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,10,Latina,https://www.wikidata.org/wiki/Q794954,60.1,Mueble,0,Envase,0,Papel_y_Carton,403,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,15,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15.815,Mueble,21,Envase,8.633,Papel_y_Carton,577,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,32.188,Mueble,49,Envase,12.59,Papel_y_Carton,450.01,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,24.99,Mueble,40,Envase,5.396,Papel_y_Carton,421.8,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,21,Barajas,https://www.wikidata.org/wiki/Q807230,28.386,Mueble,30,Envase,9.352,Papel_y_Carton,240,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,10.157,Mueble,0,Envase,2.31,Papel_y_Carton,590,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,4.353,Mueble,0,Envase,1.5,Papel_y_Carton,264.1,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,14,Moratalaz,https://www.wikidata.org/wiki/Q2076109,11.608,Mueble,0,Envase,1.75,Papel_y_Carton,281.9,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,2.902,Mueble,0,Envase,550,Papel_y_Carton,177.6,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,14.832,Mueble,660,Envase,23.78,Papel_y_Carton,488.3,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,12,Usera,https://www.wikidata.org/wiki/Q953368,9.27,Mueble,360,Envase,17.84,Papel_y_Carton,264.2,Bolsas_caninas
January,https://www.wikidata.org/wiki/Q108,17,Villaverde,https://www.wikidata.org/wiki/Q919536,12.978,Mueble,180,Envase,20.84,Papel_y_Carton,244.2,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,1,Centro,https://www.wikidata.org/wiki/Q1763376,41.368,Mueble,1.4,Envase,7.28,Papel_y_Carton,895.9,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,87.88,Mueble,160,Envase,5.8,Papel_y_Carton,453.5,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,19.186,Mueble,360,Envase,6.44,Papel_y_Carton,408.15,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,14.58,Mueble,180,Envase,3.02,Papel_y_Carton,350.3,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,3,Retiro,https://www.wikidata.org/wiki/Q2002296,10.02,Mueble,150,Envase,2.06,Papel_y_Carton,310.5,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,21.24,Mueble,280,Envase,2.87,Papel_y_Carton,379.8,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,20.695,Mueble,170,Envase,1.05,Papel_y_Carton,312.2,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,8,FUENCARRAL,,79.78,Mueble,400,Envase,8.16,Papel_y_Carton,396.1,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,440,Mueble,1.04,Envase,0,Papel_y_Carton,241.17,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,10,Latina,https://www.wikidata.org/wiki/Q794954,59.88,Mueble,580,Envase,4.1,Papel_y_Carton,401.34,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,15,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,18.09,Mueble,21,Envase,2.655,Papel_y_Carton,587.45,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,42.21,Mueble,49,Envase,6.195,Papel_y_Carton,470.32,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,36.18,Mueble,40,Envase,4.55,Papel_y_Carton,442.8,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,21,Barajas,https://www.wikidata.org/wiki/Q807230,24.12,Mueble,30,Envase,4.3,Papel_y_Carton,350,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,12.16,Mueble,0,Envase,2.12,Papel_y_Carton,612.5,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,4.56,Mueble,0,Envase,1.62,Papel_y_Carton,284.1,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,14,Moratalaz,https://www.wikidata.org/wiki/Q2076109,10.64,Mueble,0,Envase,1.56,Papel_y_Carton,293.1,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,3.04,Mueble,0,Envase,1.28,Papel_y_Carton,197.6,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,20.628,Mueble,0,Envase,25.816,Papel_y_Carton,478.5,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,12,Usera,https://www.wikidata.org/wiki/Q953368,12.892,Mueble,0,Envase,16.135,Papel_y_Carton,284.9,Bolsas_caninas
February,https://www.wikidata.org/wiki/Q109,17,Villaverde,https://www.wikidata.org/wiki/Q919536,18.05,Mueble,0,Envase,22.589,Papel_y_Carton,274.4,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,1,Centro,https://www.wikidata.org/wiki/Q1763376,43.82,Mueble,2.76,Envase,11.52,Papel_y_Carton,865.1,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,92.4,Mueble,260,Envase,4.04,Papel_y_Carton,472.5,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,21.984,Mueble,0,Envase,5.04,Papel_y_Carton,398.2,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,19.58,Mueble,426,Envase,4.22,Papel_y_Carton,350.4,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,3,Retiro,https://www.wikidata.org/wiki/Q2002296,10.962,Mueble,386,Envase,1.04,Papel_y_Carton,312.3,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,51.04,Mueble,437,Envase,2.88,Papel_y_Carton,374.9,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,27.168,Mueble,290,Envase,960,Papel_y_Carton,325,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,8,FUENCARRAL,,72.32,Mueble,880,Envase,14.26,Papel_y_Carton,333.1,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,45.72,Mueble,820,Envase,8.11,Papel_y_Carton,258.18,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,10,Latina,https://www.wikidata.org/wiki/Q794954,67.14,Mueble,1.08,Envase,9.18,Papel_y_Carton,392.2,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,15,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,52.49,Mueble,30,Envase,8.491,Papel_y_Carton,507.4,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,77.51,Mueble,60,Envase,12.383,Papel_y_Carton,473.42,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,56.53,Mueble,50,Envase,9.199,Papel_y_Carton,462.8,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,21,Barajas,https://www.wikidata.org/wiki/Q807230,34.77,Mueble,40,Envase,5.307,Papel_y_Carton,370,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,14.44,Mueble,483,Envase,4.74,Papel_y_Carton,603.1,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,7.04,Mueble,207,Envase,2.78,Papel_y_Carton,294.1,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,14,Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Mueble,552,Envase,4.86,Papel_y_Carton,293.2,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,4.78,Mueble,138,Envase,1.88,Papel_y_Carton,199.6,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,63.2,Mueble,165,Envase,28.96,Papel_y_Carton,463.1,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,12,Usera,https://www.wikidata.org/wiki/Q953368,34.388,Mueble,90,Envase,18.48,Papel_y_Carton,271.9,Bolsas_caninas
March,https://www.wikidata.org/wiki/Q110,17,Villaverde,https://www.wikidata.org/wiki/Q919536,42.752,Mueble,45,Envase,24.48,Papel_y_Carton,286.4,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,1,Centro,https://www.wikidata.org/wiki/Q1763376,37.59,Mueble,2.26,Envase,9.84,Papel_y_Carton,865.1,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,51.84,Mueble,180,Envase,5.46,Papel_y_Carton,472.5,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,24.78,Mueble,580,Envase,3.26,Papel_y_Carton,398.2,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,29.78,Mueble,0,Envase,3.34,Papel_y_Carton,334,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,3,Retiro,https://www.wikidata.org/wiki/Q2002296,5.72,Mueble,0,Envase,1.82,Papel_y_Carton,312.3,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,72.72,Mueble,1.16,Envase,3.28,Papel_y_Carton,374.9,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,33.26,Mueble,0,Envase,0,Papel_y_Carton,325,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,8,FUENCARRAL,,54.7,Mueble,840,Envase,29.4,Papel_y_Carton,317,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,48.96,Mueble,780,Envase,21.38,Papel_y_Carton,242,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,10,Latina,https://www.wikidata.org/wiki/Q794954,57.74,Mueble,1.3,Envase,10.46,Papel_y_Carton,376.2,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,15,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,108.578,Mueble,40,Envase,26.56,Papel_y_Carton,507.4,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,144.93,Mueble,70,Envase,35.75,Papel_y_Carton,457,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,101.632,Mueble,60,Envase,24.51,Papel_y_Carton,462.8,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,21,Barajas,https://www.wikidata.org/wiki/Q807230,62.22,Mueble,50,Envase,15.32,Papel_y_Carton,354,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,40.642,Mueble,347,Envase,4.942,Papel_y_Carton,571.1,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,17.419,Mueble,153,Envase,2.118,Papel_y_Carton,294.1,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,14,Moratalaz,https://www.wikidata.org/wiki/Q2076109,46.447,Mueble,398,Envase,5.648,Papel_y_Carton,277,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,11.612,Mueble,102,Envase,1.412,Papel_y_Carton,199.6,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,126.244,Mueble,200,Envase,31.016,Papel_y_Carton,463.1,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,12,Usera,https://www.wikidata.org/wiki/Q953368,165.683,Mueble,125,Envase,19.385,Papel_y_Carton,271.9,Bolsas_caninas
April,https://www.wikidata.org/wiki/Q118,17,Villaverde,https://www.wikidata.org/wiki/Q919536,247.293,Mueble,175,Envase,27.139,Papel_y_Carton,270.4,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,1,Centro,https://www.wikidata.org/wiki/Q1763376,31.39,Mueble,3.2,Envase,8.94,Papel_y_Carton,865.1,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,67.92,Mueble,360,Envase,3.48,Papel_y_Carton,462.5,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,23.58,Mueble,300,Envase,4.3,Papel_y_Carton,396.2,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,44.34,Mueble,0,Envase,5.16,Papel_y_Carton,364,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,3,Retiro,https://www.wikidata.org/wiki/Q2002296,12.5,Mueble,0,Envase,1.38,Papel_y_Carton,332.3,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,49.24,Mueble,1.28,Envase,3.72,Papel_y_Carton,394.9,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,16.4,Mueble,0,Envase,0,Papel_y_Carton,415.2,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,8,FUENCARRAL,,62.34,Mueble,560,Envase,26.8,Papel_y_Carton,356.1,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,58.08,Mueble,500,Envase,15.9,Papel_y_Carton,252,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,10,Latina,https://www.wikidata.org/wiki/Q794954,90.04,Mueble,2.2,Envase,12.84,Papel_y_Carton,366.2,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,15,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,112.313,Mueble,40,Envase,28.642,Papel_y_Carton,530.4,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,163.79,Mueble,70,Envase,38.556,Papel_y_Carton,487,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,121.672,Mueble,60,Envase,26.438,Papel_y_Carton,482.8,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,21,Barajas,https://www.wikidata.org/wiki/Q807230,70.196,Mueble,50,Envase,16.524,Papel_y_Carton,414,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,25.08,Mueble,380,Envase,4.662,Papel_y_Carton,591.1,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,38.34,Mueble,140,Envase,1.998,Papel_y_Carton,272.1,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,14,Moratalaz,https://www.wikidata.org/wiki/Q2076109,31.78,Mueble,260,Envase,5.328,Papel_y_Carton,297,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,8.12,Mueble,120,Envase,1.332,Papel_y_Carton,210.6,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,241.184,Mueble,72,Envase,32.347,Papel_y_Carton,483.3,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,12,Usera,https://www.wikidata.org/wiki/Q953368,150.74,Mueble,45,Envase,21.789,Papel_y_Carton,291.9,Bolsas_caninas
May,https://www.wikidata.org/wiki/Q119,17,Villaverde,https://www.wikidata.org/wiki/Q919536,211.036,Mueble,63,Envase,28.304,Papel_y_Carton,310.4,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,1,Centro,https://www.wikidata.org/wiki/Q1763376,37.6,Mueble,2.9,Envase,13.6,Papel_y_Carton,875,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,93.44,Mueble,160,Envase,6.82,Papel_y_Carton,461,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,32.68,Mueble,440,Envase,3.18,Papel_y_Carton,395.5,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,39.02,Mueble,0,Envase,3.24,Papel_y_Carton,359,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,3,Retiro,https://www.wikidata.org/wiki/Q2002296,12.56,Mueble,0,Envase,4.26,Papel_y_Carton,352,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,51.72,Mueble,1.04,Envase,1.68,Papel_y_Carton,389.1,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,62.66,Mueble,0,Envase,9.78,Papel_y_Carton,420.2,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,8,FUENCARRAL,,123.32,Mueble,260,Envase,30.88,Papel_y_Carton,352.3,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,67.26,Mueble,240,Envase,12.68,Papel_y_Carton,250,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,10,Latina,https://www.wikidata.org/wiki/Q794954,159.02,Mueble,1.52,Envase,16.88,Papel_y_Carton,358.2,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,15,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,120.57,Mueble,40,Envase,26.74,Papel_y_Carton,525.4,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,158.04,Mueble,70,Envase,38.99,Papel_y_Carton,481.5,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,124.275,Mueble,60,Envase,28.96,Papel_y_Carton,485.8,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,21,Barajas,https://www.wikidata.org/wiki/Q807230,76.591,Mueble,50,Envase,16.71,Papel_y_Carton,411,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,60.319,Mueble,280,Envase,4.557,Papel_y_Carton,587.1,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,25.852,Mueble,120,Envase,1.953,Papel_y_Carton,274.5,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,14,Moratalaz,https://www.wikidata.org/wiki/Q2076109,68.936,Mueble,140,Envase,5.208,Papel_y_Carton,282,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,17.233,Mueble,60,Envase,1.302,Papel_y_Carton,205.6,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,272.443,Mueble,56,Envase,31.024,Papel_y_Carton,481.6,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,12,Usera,https://www.wikidata.org/wiki/Q953368,170.277,Mueble,35,Envase,19.39,Papel_y_Carton,288.7,Bolsas_caninas
June,https://www.wikidata.org/wiki/Q120,17,Villaverde,https://www.wikidata.org/wiki/Q919536,238.388,Mueble,49,Envase,27.146,Papel_y_Carton,308.3,Bolsas_caninas
